row,cell_id,method,execution_state,runtime,runtime_source,peak_rss,peak_rss_source,peak_vram,peak_vram_source,output_device,device_source,envelope,envelope_source,state_source,note,coverage_status
1,F00 CONTRACT-FREEZE,Program/R2 contract and frozen-ledger package (adapted completion),DONE_RESOURCE_NOT_RECORDED,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,The audit establishes completion but no authorized artifact records a separable F00 resource measurement.,UNKNOWN
2,F01 E1-HANDLE-FORENSICS,platt_P0 C0-C6 handle forensics,MEASURED,4.913913 s (duration_seconds),D:\runs\e2_program\cells\f01_handle_forensics\measurement.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\f01_handle_forensics\measurement.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\f01_handle_forensics\measurement.json,CPU-PAR execution class; exact CPU model UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f01_handle_forensics\REPORT.md,CPU <1h,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f01_handle_forensics\REPORT.md,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f01_handle_forensics\REPORT.md,Duration is copied from the completed measurement JSON; no RSS or VRAM telemetry was emitted.,MEASURED
3,S07 SILVER-ADMISSION,E1.5 B1/B4 silver admission (adapted completion),DONE_RESOURCE_NOT_RECORDED,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,"The adapted E1.5 result is DONE, but the authorized F05 source roots contain no resource telemetry for it.",UNKNOWN
4,F02 WALL-GENERATOR-QUAL,Synthetic generator/fidelity axes plus completed real face-consumer axis; resource telemetry exists only for the synthetic subaxes,AXIS_MEASUREMENT_COMPLETE_RESOURCE_SUBAXES_ONLY,gen2_families executor wall 0.252241 h; fidelity_full fidelity runtime 207.890507 s,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\gen2_families\REPORT.md; D:\runs\e2_program\cells\fidelity_full\fidelity_numbers.json,0.091114 GiB,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\gen2_families\REPORT.md,N/A(no_GPU_used; GPU use=0 recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\gen2_families\REPORT.md,CPU; GPU use=0,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\gen2_families\REPORT.md,process CPU 0.251345 h / cap 8 h; peak RSS 0.091114 GiB / cap 48 GiB,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\gen2_families\REPORT.md,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f02_real_axis\REPORT.md,"No runtimes were summed. The two values are verbatim measurements from distinct executed synthetic-axis artifacts; the completed real-axis report emitted no runtime, RSS, or VRAM telemetry.",MEASURED
5,F03 CANONICAL-WORLD-IR,World-IR oracle plus executed real P6 C4 probe; resource telemetry exists only for the oracle selftest,AXIS_EXECUTED_RESOURCE_SUBAXIS_ONLY,236 ms (first isolated selftest run),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\worldir_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\worldir_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\worldir_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\worldir_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\worldir_REPORT.md,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f03_real_probe\REPORT.md,The real probe executed and reported BLOCKED_INPUT/BELOW_BAND but emitted no resource telemetry. The 236 ms value applies only to the earlier oracle selftest.,MEASURED
6,F04 COMMON-METAMORPHIC-JUDGE,Common metamorphic judge with canonical deterministic/classical fill adjudication; resource telemetry exists only for mapped calibration_P3 E6,COMMON_JUDGE_COMPLETE_CANONICAL_FILL_BLOCKED_INPUT_RESOURCE_COMPONENT_ONLY,165.7611982000235 s (wall_seconds),D:\runs\e2_program\cells\e6_calibration_ood\results.json,1859694592 bytes,D:\runs\e2_program\cells\e6_calibration_ood\results.json,36148224 bytes (peak CUDA allocated),D:\runs\e2_program\cells\e6_calibration_ood\results.json,NVIDIA GeForce RTX 5070 Ti / cuda:0 with CPU auxiliary reduction,D:\runs\e2_program\cells\e6_calibration_ood\results.json,RTX cap 28800.0 s,D:\runs\e2_program\cells\e6_calibration_ood\results.json,D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\f04_REPORT.md; D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_canonical_fill\REPORT.md,"The common-judge report records AXIS_MEASUREMENT_COMPLETE but no own resource telemetry; the later canonical fill completed its packet with BLOCKED_INPUT and 0/14 numeric cells, also without resource telemetry. The listed values belong only to the explicitly mapped E6 component, not to a recomputed F04 total.",MEASURED
7,F04G META-GNN-FAMILY,Seven GNN-family metamorphic transform cells,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,The F04 CPU completion bundle explicitly marks F15-F21 as deferred to F04G and UNKNOWN.,UNKNOWN
8,F04V META-VLM-FAMILY,Seven VLM-family metamorphic transform cells,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,UNKNOWN(not_yet_run),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\f04_completion\transform_by_family.csv,The F04 CPU completion bundle explicitly marks F22-F28 as deferred to F04V and UNKNOWN.,UNKNOWN
9,F05 SCALE-RESOURCE-GATE,Platform preflight plus full-graph DGX scale envelope (partial),PARTIAL_MEASURED,platform local suite 8.925314100008109 s; platform DGX suite 24.46329983929172 s; full-graph DGX wall 579.4260137737729 s,D:\runs\e2_program\cells\w2_00_preflight\throughput.json; D:\runs\e2_program\cells\g5_full_graph\results.json,platform cpu_feature local 1782353920 bytes / DGX 2380304384 bytes; full-graph build host 3873734656 bytes,D:\runs\e2_program\cells\w2_00_preflight\throughput.json; D:\runs\e2_program\cells\g5_full_graph\results.json,platform gnn local 405766144 bytes / DGX 404717568 bytes; platform unet local 2413962240 bytes / DGX 448658944 bytes; full-graph per-seed peak CUDA allocated 1664444416 bytes,D:\runs\e2_program\cells\w2_00_preflight\throughput.json; D:\runs\e2_program\cells\g5_full_graph\results.json,NVIDIA GeForce RTX 5070 Ti; NVIDIA GB10; local CPU; Grace CPU,D:\runs\e2_program\cells\w2_00_preflight\REPORT.md,routing=DGX_MEMORY_BOUND_ONLY at threshold 2.0; full-graph DGX cap 36.0 h; OOM downgrade count 0,D:\runs\e2_program\cells\w2_00_preflight\throughput.json; D:\runs\e2_program\cells\g5_full_graph\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,"All submethod values are listed separately; no maximum, sum, interpolation, or average was created.",MEASURED
10,F06 FROZEN-TEST-ONCE,Method-specific frozen test once,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Frozen test contact remains zero.,UNKNOWN
