section,key,value
identity,schema,e2.e6_calibration_ood.prereg.v1
identity,cell,e6_calibration_ood
identity,sealed_at_utc,2026-07-19T00:21:18.5586105Z
scope,execution_surface,local NVIDIA RTX; frozen-model inference only
scope,write_root,D:\runs\e2_program\cells\e6_calibration_ood
scope,repository_mutation,forbidden
scope,subagents,forbidden
scope,git,forbidden
scope,GNN_training_or_refit,forbidden
scope,threshold_search,forbidden
scope,threshold,0.5
scope,temperature_fit_exception,one scalar T per arm and model seed on cal-fit only
scope,classical_fit_exception,sealed W2-02 two-hop HistGradientBoosting protocol; train-only
scope,RTX_cap_hours,8.0
scope,judgment_output,forbidden; numeric measurements and unresolved items only
access,GNN_evaluation,only W2-09 manifest-listed val-A 198 drawings and matching truth
access,classical_fit,sealed train labels and W2-02 train design only
access,val_B,reject before filesystem path construction or read
access,test,reject before filesystem path construction or read
access,original_CAD,forbidden
universe,name,CubiCasa W2-09 val-A
universe,drawing_count,198
universe,row_count,167556
universe,family_count,198
universe,family_crossing_count,0
universe,high_quality_architectural_drawings,119
universe,high_quality_drawings,54
universe,colorful_drawings,25
split,seed,43
split,namespace,e6.calibration.ood.v1
split,family_hash,SHA-256 of UTF-8 string e6.calibration.ood.v1|43|{family_id}
split,rule,sort by family_hash then family_id then drawing_id; first 99 cal-fit and remaining 99 cal-eval
split,assignment_serialization,"drawing_id,family_id,split ordered by drawing_id; LF terminated"
split,assignment_sha256,a3f40d2c61eddc83a434ace020b2bd52c2d448051db78b65ef005aa6b23fa96e
split,cal_fit_drawings,99
split,cal_fit_rows,85421
split,cal_fit_ids_sha256,8606195f96ba2b8df7a9ebe8c5a6065fc7ded30f226ad038bc22a3e84f6d20b7
split,cal_fit_high_quality_architectural_drawings,61
split,cal_fit_high_quality_drawings,27
split,cal_fit_colorful_drawings,11
split,cal_eval_drawings,99
split,cal_eval_rows,82135
split,cal_eval_ids_sha256,a9f1f02e051e9f3eecca2b7966daf96a9a888df5189c0c4c556d786b868e067b
