record_type,id,name,value,path,sha256
SEAL,PREREG_SHA256,PREREG SHA-256,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2,D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
BAND,F01,decision_band_verbatim,"| F01 E1-HANDLE-FORENSICS | TOP | GATED(F00) | CPU-PAR | 승계 — O-A/O-B/r_pair/unit factor 결정 lattice, CPU `<1h` | F00 |",D:\dev\99_tools\autocad-sdk-router\reports\e2\synthesis\FINAL_PROGRAM_PLAN.md,
FORMULA,C0,selection_lineage,"Rebuild each ordered top-20 selector from sortkey_probe.per_def ranks (ascending non-null rank, deterministic def-name tie break), compare order and set against sortkey_probe.top20.{a_original,b_absdiff,c_wrankdiff,d_bootstrap}, and trace each a_original definition through raw unit_id/def records and the staged-DXF INSERT definition graph. Report exact mismatches and root reachability; absent nodes are UNKNOWN, never inferred.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C1,O-A annotation-side wall observation,"For each definition, O-A likelihood is the median of available wall_likelihood values from the five authorized raw panel judges. O-A positive iff median >= 0.50. O-A handles are the case-normalized union of syntactically valid wall_line_handles from those same records, retaining per-judge provenance. No missing judge value is imputed; if no judge value exists, O-A is UNKNOWN.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C2,O-B staged-DXF geometric pair observation,"Within each staged-DXF block definition, candidate straight primitives are LINEs and straight two-vertex LWPOLYLINEs. An unordered pair is O-B-positive when both lengths are >0, acute angular difference <=1 degree, perpendicular separation is 50..500 drawing units inclusive, projected longitudinal overlap divided by shorter length is >=0.50, and length ratio shorter/longer is >=0.50. Entity handles and owner definitions must be directly parsed from the staged DXF; missing geometry is UNKNOWN.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C3,r_pair,r_pair = number of distinct valid O-A straight-primitive handles that participate in at least one O-B-positive pair / number of distinct valid O-A straight-primitive handles. Also report the definition-level analogue. A zero denominator yields UNKNOWN.,D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C4,unit_factor,"For every bbox_units.per_def anchor match, use ratio_vs_nearest_bbox_span when finite, otherwise ratio_vs_nearest_line_span. Test frozen candidates {1,10,25.4,304.8,1000}; a ratio supports a candidate when relative error <=1%. unit_factor is the candidate with maximal support only if at least 5 anchors support it and its share among all candidate-supported anchors is >=0.80; otherwise UNKNOWN. Ties are UNKNOWN. Unit name is never inferred from magnitude.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C5,token_association,"Build a definition-level 2x2 table between presence of at least one bbox_units numeric dimension candidate and O-B pair positivity; report cells, conditional rates, risk ratio when its denominator is nonzero, and odds ratio only when all four cells are nonzero. Separately tokenize definition names on non-alphanumeric boundaries, casefold, retain tokens with support >=5, and report support plus P(O-A positive|token) and P(O-B positive|token). Undefined quantities remain UNKNOWN; no continuity correction.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
FORMULA,C6,n_h_ornith,"Read handle_audit.per_judge[judge=ornith_v0].n_cited_distinct as n_h_ornith and cross-check equality to n_cited plus n_nonexistent=0. Because ornith raw is not authorized, individual-handle reconstruction is UNKNOWN rather than substituted from panel handles.",D:\runs\e2_program\cells\f01_handle_forensics\PREREG_local.json,9ae565948e03787216f8744d7d5ba3e938a1c7302c0cadcf0bb73440724e02b2
INPUT,,shard_01.json,26248,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_01.json,11e8cfc67e72fd7a3d9c9af15439aa0f5216dc9f4ad72b7df048fc6949a6019b
